
line2
line3

NREL 5.0 MW Baseline Wind Turbine for Use in Offshore Analysis.

    Time	WindVxi	GenPwr	RotSpeed	OoPDefl1	IPDefl1	OoPDefl2	IPDefl2	OoPDefl3	IPDefl3	RootFxc1	RootFyc1	RootFzc1	RotTorq
   (sec)	(m/sec)	(kW)	(rpm)	(m)	(m)	(m)	(m)	(m)	(m)	(kN)	(kN)	(kN)	(kNm)
7.630000000000000115e-01 1.140000000000000036e+01 4.712000000000000000e+03 1.174000000000000021e+01 6.142000000000000348e+00 -1.157000000000000028e+00 6.634999999999999787e+00 -5.733000000000000318e-01 5.913999999999999702e+00 -3.693000000000000171e-01 2.866999999999999886e+02 -1.880999999999999943e+02 4.686000000000000227e+02 4.578000000000000000e+03
7.750000000000000222e-01 1.140000000000000036e+01 4.697000000000000000e+03 1.175999999999999979e+01 6.104000000000000092e+00 -1.177000000000000046e+00 6.592999999999999972e+00 -5.605999999999999872e-01 5.866999999999999993e+00 -4.233000000000000096e-01 2.873999999999999773e+02 -1.896999999999999886e+02 4.706000000000000227e+02 4.874000000000000000e+03
7.880000000000000338e-01 1.140000000000000036e+01 4.685000000000000000e+03 1.178999999999999915e+01 6.062999999999999723e+00 -1.193999999999999950e+00 6.548000000000000043e+00 -5.464999999999999858e-01 5.817999999999999616e+00 -4.728999999999999870e-01 2.878000000000000114e+02 -1.921999999999999886e+02 4.725000000000000000e+02 5.173000000000000000e+03
8.000000000000000444e-01 1.140000000000000036e+01 4.676000000000000000e+03 1.181000000000000050e+01 6.020999999999999908e+00 -1.205999999999999961e+00 6.501000000000000334e+00 -5.311000000000000165e-01 5.767999999999999794e+00 -5.179000000000000270e-01 2.881999999999999886e+02 -1.951999999999999886e+02 4.743999999999999773e+02 5.467000000000000000e+03
8.120000000000000551e-01 1.140000000000000036e+01 4.670000000000000000e+03 1.183999999999999986e+01 5.977999999999999758e+00 -1.213999999999999968e+00 6.453000000000000291e+00 -5.142999999999999794e-01 5.717999999999999972e+00 -5.576999999999999735e-01 2.883000000000000114e+02 -1.988000000000000114e+02 4.763000000000000114e+02 5.748000000000000000e+03
8.249999999999999556e-01 1.140000000000000036e+01 4.667000000000000000e+03 1.185999999999999943e+01 5.934999999999999609e+00 -1.217999999999999972e+00 6.402999999999999581e+00 -4.965999999999999859e-01 5.666999999999999815e+00 -5.924000000000000377e-01 2.883999999999999773e+02 -2.025000000000000000e+02 4.781999999999999886e+02 6.005000000000000000e+03
8.379999999999999671e-01 1.140000000000000036e+01 4.665000000000000000e+03 1.188000000000000078e+01 5.892000000000000348e+00 -1.217999999999999972e+00 6.352000000000000313e+00 -4.779999999999999805e-01 5.615999999999999659e+00 -6.218000000000000194e-01 2.881999999999999886e+02 -2.061999999999999886e+02 4.801999999999999886e+02 6.229000000000000000e+03
8.499999999999999778e-01 1.140000000000000036e+01 4.666000000000000000e+03 1.190000000000000036e+01 5.849000000000000199e+00 -1.215000000000000080e+00 6.299999999999999822e+00 -4.591000000000000081e-01 5.565000000000000391e+00 -6.462999999999999856e-01 2.880000000000000000e+02 -2.095000000000000000e+02 4.821999999999999886e+02 6.411000000000000000e+03
8.629999999999999893e-01 1.140000000000000036e+01 4.668000000000000000e+03 1.191999999999999993e+01 5.806000000000000050e+00 -1.207999999999999963e+00 6.248000000000000220e+00 -4.401999999999999802e-01 5.514000000000000234e+00 -6.657999999999999474e-01 2.876999999999999886e+02 -2.123000000000000114e+02 4.843000000000000114e+02 6.543000000000000000e+03
8.750000000000000000e-01 1.140000000000000036e+01 4.671000000000000000e+03 1.192999999999999972e+01 5.764000000000000234e+00 -1.197999999999999954e+00 6.195000000000000284e+00 -4.218000000000000083e-01 5.464000000000000412e+00 -6.805999999999999828e-01 2.871999999999999886e+02 -2.143000000000000114e+02 4.865000000000000000e+02 6.619000000000000000e+03
